epoch,train_loss,val_loss,val_wer,best_val_wer,epoch_time_sec,global_step,peak_vram_alloc_gb,peak_vram_reserved_gb
1,3.129651,3.045549,0.983339,0.983339,289.55,922,1.120,2.459
2,2.940638,2.879279,1.037833,0.983339,268.69,1844,1.120,2.459
3,2.875242,3.163511,0.976269,0.976269,257.44,2766,1.120,2.459
4,2.840986,2.846968,0.992994,0.976269,257.40,3688,1.120,2.459
5,2.825935,2.815091,1.101894,0.976269,257.49,4610,1.120,2.459
6,2.817259,2.811505,0.984131,0.976269,257.23,5532,1.120,2.459
7,2.804906,2.837993,1.027373,0.976269,257.13,6454,1.120,2.459
8,2.802859,3.575719,1.786332,0.976269,256.91,7376,1.120,2.459
9,2.800096,2.815356,1.124634,0.976269,256.85,8298,1.120,2.459
10,2.901087,3.006177,0.990887,0.976269,256.79,9220,1.120,2.459
11,2.976546,2.896076,0.984807,0.976269,256.77,10142,1.120,2.459
12,2.943667,2.895692,0.998557,0.976269,256.98,11064,1.120,2.459
13,2.852539,2.835161,1.010542,0.976269,256.93,11986,1.120,2.459
14,2.815929,2.820814,1.025453,0.976269,257.30,12908,1.120,2.459
15,2.808162,2.908490,1.008770,0.976269,257.83,13830,1.120,2.459
16,2.805575,2.803233,1.046762,0.976269,257.13,14752,1.120,2.459
